"Serial #","Building Name","Location","Floor","Installed","Sharp ID #","IP Address","B/W Meter","Colour Meter","Model",,
8507383200,"HSC","2V2","3RD","Y",41950,"http://130.113.37.83",523048,60,"MX-4501N",,
8508016100,"HSC","3A Pediatrics","3RD","Y",41954,"http://130.113.181.169",554959,52067,"MX-3501N",,
8507707300,"HSC","ANIMAL QUARTERS","1ST","Y",41956,"https://130.113.33.41",156567,5498,"MX-2300N",,
8505793400,"HSC","1B7","1ST","Y",43878,"http://130.113.154.241",463231,272,"MX-4501N",,
8505107600,"HSC","2F8A","2nd","Y",43879,"http://130.113.154.243",150986,13,"MX-3501N",,
8511017600,"HSC","4E copy room","4th","Y",43971,"http://130.113.154.240",205878,79188,"MX-3501N",,
8500855600,"HSC","3v37","4th","Y",44895,"http://130.113.154.116",192239,21,"MX-3501N",,
8505502600,"HSC","2N5","2nd","Y",45077,,204896,59314,"MX-3501N",,
8500254800,"HSC",2.00E+08,"2ND","Y",50094,"http://130.113.77.44",455273,12516,"MX-5500N",,
8507554800,"HSC","3X32","3rd","Y",55530,"http://130.113.154.205",789450,31989,"MX-4501N",,
9211780500,"HSC","CSU 2D 11A","2nd","Y",58961,"http://130.113.45.80",73102,56137,"MX-C311",,
506583400,"HSC","3N44","3rd","Y",74865423,"http://130.113.154.61",82919,87572,"MX-3101N",,
"8211231Y00","HSC","1G13","1st","Y",75123407,"http://130.113.135.143",835,2045,"MX-C310",,
8505362600,"HSC 1M1","1M1","1st","Y",43877,"http://130.113.160.162",339334,55386,"MX-3501N",,
"9211369Y00","HSC 1M1",101,"1st","Y",81671,"http://130.113.160.158",55628,51704,"MX-C311",,
8500827600,"IAHS","Library","1ST","Y",44812,"http://130.113.133.227",313149,11082,"MX-3501N",,
8502323600,"IAHS","LIBRARY","1ST","Y",45900,"http://130.113.133.226",547262,11384,"MX-3501N",,
8507592800,"IAHS",402,"4TH","Y",54061,"http://130.113.24.115",893235,3400,"MX-4501N",,
8507278200,"INNIS LIBRARY","1st","1ST","Y",42002,"http://130.113.132.6",242862,11058,"MX-3501N",,
8507963100,"INNIS LIBRARY","OPEN AREA","1ST","Y",43579,"http://130.113.132.50",60703,19505,"MX-3501N",,
8508005100,"INNIS LIBRARY","OPEN AREA","1ST","Y",43581,"http://130.113.132.48",145998,3636,"MX-3501N",,
8502308600,"ITB",202,"2nd","Y",45497,"http://130.113.70.111",415468,7321,"MX-3501N",,
